[10:12:41] 📍 Loaded 754 district venues
[07:32:40] ⚠ 1041743 status 500
[07:32:40] ⚠ 1030504 status 500
[07:32:40] ⚠ 1037961 status 500
[07:32:40] ⚠ 1016133 status 500
[07:32:41] ⚠ 1049666 status 500
[07:32:41] ⚠ 1053618 status 500
[07:32:41] ⚠ 5059 status 500
[07:32:41] ⚠ 25804 status 500
[07:32:41] ⚠ 55272 status 500
[07:32:41] ⚠ 1050791 status 500
[07:32:41] ⚠ 1016088 status 500
[07:32:42] ⚠ 1042615 status 500
[07:32:42] ⚠ 1042640 status 500
[07:32:42] ⚠ 1037511 status 500
[07:32:43] ⚠ 1037502 status 500
[07:32:43] ⚠ 4248 status 500
[07:32:43] ⚠ 1007054 status 500
[07:32:43] ⚠ 1036962 status 500
[07:32:43] ⚠ 4891 status 500
[07:32:43] ⚠ 1042635 status 500
[07:32:43] ⚠ 28925 status 500
[07:32:44] ⚠ 1011174 status 500
[07:32:44] ⚠ 3981 status 500
[07:32:44] ⚠ 1042453 status 500
[07:32:44] ⚠ 3960 status 500
[07:32:45] ⚠ 1037526 status 500
[07:32:45] ⚠ 1041504 status 500
[07:32:45] ⚠ 22684 status 500
[07:32:45] ⚠ 19528 status 500
[07:32:45] ⚠ 1012595 status 500
[07:32:46] ⚠ 4232 status 500
[07:32:46] ⚠ 3910 status 500
[07:32:46] ⚠ 14702 status 500
[07:32:46] ⚠ 32194 status 500
[07:32:47] ⚠ 14694 status 500
[07:32:47] ⚠ 6044 status 500
[07:32:47] ⚠ 4028 status 500
[07:32:47] ⚠ 7881 status 500
[07:32:47] ⚠ 7534 status 500
[07:32:47] ⚠ 1067946 status 500
[07:32:47] ⚠ 4067 status 500
[07:32:47] ⚠ 4008 status 500
[07:32:48] ⚠ 1019166 status 500
[07:32:49] ⚠ 25860 status 500
[07:32:49] ⚠ 9135 status 500
[07:32:49] ⚠ 43348 status 500
[07:32:49] ⚠ 10250 status 500
[07:32:49] ⚠ 1050645 status 500
[07:32:49] ⚠ 1018798 status 500
[07:32:49] ⚠ 6057 status 500
[07:32:49] ⚠ 58633 status 500
[07:32:50] ⚠ 1091219 status 500
[07:32:50] ⚠ 1092958 status 500
[07:32:51] ⚠ 1034375 status 500
[07:32:51] ⚠ 1037530 status 500
[07:32:51] ⚠ 1005799 status 500
[07:32:51] ⚠ 1005798 status 500
[07:32:51] ⚠ 1020333 status 500
[07:32:51] ⚠ 1015289 status 500
[07:32:52] ⚠ 1089067 status 500
[07:32:52] ⚠ 1034383 status 500
[07:32:52] ⚠ 4608 status 500
[07:32:52] ⚠ 1025291 status 500
[07:32:52] ⚠ 27150 status 500
[07:32:53] ⚠ 1058533 status 500
[07:32:53] ⚠ 1044095 status 500
[07:32:53] ⚠ 1033632 status 500
[07:32:53] ⚠ 1015291 status 500
[07:32:54] ⚠ 1041725 status 500
[07:32:54] ⚠ 1034254 status 500
[07:32:54] ⚠ 1039768 status 500
[07:32:54] ⚠ 1058794 status 500
[07:32:54] ⚠ 1023626 status 500
[07:32:55] ⚠ 1034186 status 500
[07:32:55] ⚠ 1019593 status 500
[07:32:55] ⚠ 27716 status 500
[07:32:55] ⚠ 24929 status 500
[07:32:56] ⚠ 27715 status 500
[07:32:56] ⚠ 44966 status 500
[07:32:56] ⚠ 496 status 500
[07:32:56] ⚠ 1039751 status 500
[07:32:56] ⚠ 7747 status 500
[07:32:56] ⚠ 1013208 status 500
[07:32:57] ⚠ 1016986 status 500
[07:32:57] ⚠ 4042 status 500
[07:32:57] ⚠ 4306 status 500
[07:32:58] ⚠ 1083399 status 500
[07:32:58] ⚠ 28214 status 500
[07:32:58] ⚠ 1063761 status 500
[07:32:58] ⚠ 1037520 status 500
[07:32:58] ⚠ 1020288 status 500
[07:32:58] ⚠ 24351 status 500
[07:32:59] ⚠ 1088790 status 500
[07:32:59] ⚠ 4217 status 500
[07:32:59] ⚠ 7752 status 500
[07:32:59] ⚠ 9373 status 500
[07:32:59] ⚠ 1037142 status 500
[07:32:59] ⚠ 1088803 status 500
[07:32:59] ⚠ 1039424 status 500
[07:33:00] ⚠ 52996 status 500
[07:33:00] ⚠ 1053939 status 500
[07:33:00] ⚠ 1067686 status 500
[07:33:01] ⚠ 7222 status 500
[07:33:01] ⚠ 16791 status 500
[07:33:01] ⚠ 31987 status 500
[07:33:01] ⚠ 15527 status 500
[07:33:01] ⚠ 1036961 status 500
[07:33:02] ⚠ 1015795 status 500
[07:33:02] ⚠ 4332 status 500
[07:33:02] ⚠ 26401 status 500
[07:33:02] ⚠ 1041692 status 500
[07:33:02] ⚠ 1020190 status 500
[07:33:03] ⚠ 44366 status 500
[07:33:03] ⚠ 509 status 500
[07:33:03] ⚠ 9420 status 500
[07:33:03] ⚠ 1063452 status 500
[07:33:03] ⚠ 1003802 status 500
[07:33:03] ⚠ 1008409 status 500
[07:33:03] ⚠ 6093 status 500
[07:33:04] ⚠ 5041 status 500
[07:33:04] ⚠ 22305 status 500
[07:33:04] ⚠ 1003773 status 500
[07:33:04] ⚠ 1005991 status 500
[07:33:04] ⚠ 1030422 status 500
[07:33:05] ⚠ 25938 status 500
[07:33:05] ⚠ 1008335 status 500
[07:33:05] ⚠ 1065451 status 500
[07:33:05] ⚠ 32294 status 500
[07:33:05] ⚠ 30524 status 500
[07:33:06] ⚠ 4902 status 500
[07:33:06] ⚠ 26230 status 500
[07:33:06] ⚠ 1041753 status 500
[07:33:07] ⚠ 26676 status 500
[07:33:07] ⚠ 9413 status 500
[07:33:07] ⚠ 4739 status 500
[07:33:07] ⚠ 1039842 status 500
[07:33:07] ⚠ 4107 status 500
[07:33:07] ⚠ 522 status 500
[07:33:07] ⚠ 1039877 status 500
[07:33:08] ⚠ 9411 status 500
[07:33:08] ⚠ 1040228 status 500
[07:33:08] ⚠ 25808 status 500
[07:33:08] ⚠ 62637 status 500
[07:33:09] ⚠ 1021922 status 500
[07:33:09] ⚠ 1005804 status 500
[07:33:09] ⚠ 9424 status 500
[07:33:10] ⚠ 25011 status 500
[07:33:10] ⚠ 1040731 status 500
[07:33:10] ⚠ 1037532 status 500
[07:33:10] ⚠ 1037345 status 500
[07:33:10] ⚠ 1012189 status 500
[07:33:10] ⚠ 36879 status 500
[07:33:10] ⚠ 14166 status 500
[07:33:11] ⚠ 9551 status 500
[07:33:11] ⚠ 1005797 status 500
[07:33:11] ⚠ 9350 status 500
[07:33:11] ⚠ 9474 status 500
[07:33:11] ⚠ 4036 status 500
[07:33:12] ⚠ 1039272 status 500
[07:33:12] ⚠ 1041505 status 500
[07:33:12] ⚠ 7350 status 500
[07:33:12] ⚠ 1034324 status 500
[07:33:13] ⚠ 1008404 status 500
[07:33:13] ⚠ 4733 status 500
[07:33:13] ⚠ 1042439 status 500
[07:33:13] ⚠ 9491 status 500
[07:33:14] ⚠ 4272 status 500
[07:33:14] ⚠ 4045 status 500
[07:33:14] ⚠ 1012081 status 500
[07:33:14] ⚠ 14669 status 500
[07:33:14] ⚠ 1031296 status 500
[07:33:14] ⚠ 1037506 status 500
[07:33:15] ⚠ 1071622 status 500
[07:33:15] ⚠ 4725 status 500
[07:33:15] ⚠ 5058 status 500
[07:33:15] ⚠ 1027903 status 500
[07:33:15] ⚠ 1037523 status 500
[07:33:15] ⚠ 18823 status 500
[07:33:16] ⚠ 9132 status 500
[07:33:16] ⚠ 1014990 status 500
[07:33:16] ⚠ 1025740 status 500
[07:33:16] ⚠ 26640 status 500
[07:33:16] ⚠ 1015840 status 500
[07:33:17] ⚠ 4715 status 500
[07:33:17] ⚠ 42945 status 500
[07:33:17] ⚠ 1065987 status 500
[07:33:17] ⚠ 1064038 status 500
[07:33:17] ⚠ 1015442 status 500
[07:33:18] ⚠ 46485 status 500
[07:33:18] ⚠ 7137 status 500
[07:33:18] ⚠ 1052503 status 500
[07:33:18] ⚠ 51499 status 500
[07:33:18] ⚠ 1041473 status 500
[07:33:19] ⚠ 4050 status 500
[07:33:19] ⚠ 1036772 status 500
[07:33:19] ⚠ 1037514 status 500
[07:33:19] ⚠ 18460 status 500
[07:33:19] ⚠ 1041496 status 500
[07:33:20] ⚠ 7618 status 500
[07:33:20] ⚠ 1016381 status 500
[07:33:20] ⚠ 1020453 status 500
[07:33:20] ⚠ 7679 status 500
[07:33:20] ⚠ 27219 status 500
[07:33:21] ⚠ 16522 status 500
[07:33:21] ⚠ 4051 status 500
[07:33:21] ⚠ 9136 status 500
[07:33:21] ⚠ 1041458 status 500
[07:33:21] ⚠ 1041242 status 500
[07:33:21] ⚠ 5145 status 500
[07:33:22] ⚠ 1020547 status 500
[07:33:22] ⚠ 1037510 status 500
[07:33:22] ⚠ 1015286 status 500
[07:33:22] ⚠ 1075745 status 500
[07:33:23] ⚠ 1084553 status 500
[07:33:23] ⚠ 9384 status 500
[07:33:23] ⚠ 1041393 status 500
[07:33:23] ⚠ 25571 status 500
[07:33:23] ⚠ 1037531 status 500
[07:33:24] ⚠ 9174 status 500
[07:33:24] ⚠ 9194 status 500
[07:33:24] ⚠ 3965 status 500
[07:33:24] ⚠ 1039840 status 500
[07:33:24] ⚠ 55466 status 500
[07:33:24] ⚠ 1032461 status 500
[07:33:25] ⚠ 30784 status 500
[07:33:25] ⚠ 1032460 status 500
[07:33:25] ⚠ 7232 status 500
[07:33:25] ⚠ 25045 status 500
[07:33:25] ⚠ 26281 status 500
[07:33:26] ⚠ 1037527 status 500
[07:33:26] ⚠ 55853 status 500
[07:33:26] ⚠ 1016383 status 500
[07:33:26] ⚠ 9246 status 500
[07:33:26] ⚠ 1007282 status 500
[07:33:27] ⚠ 1041239 status 500
[07:33:27] ⚠ 1037503 status 500
[07:33:27] ⚠ 1003767 status 500
[07:33:27] ⚠ 1037491 status 500
[07:33:27] ⚠ 1029684 status 500
[07:33:28] ⚠ 25181 status 500
[07:33:28] ⚠ 18164 status 500
[07:33:28] ⚠ 1035744 status 500
[07:33:28] ⚠ 9285 status 500
[07:33:28] ⚠ 1015975 status 500
[07:33:28] ⚠ 3896 status 500
[07:33:29] ⚠ 19513 status 500
[07:33:29] ⚠ 1037517 status 500
[07:33:29] ⚠ 5182 status 500
[07:33:29] ⚠ 62250 status 500
[07:33:30] ⚠ 1042605 status 500
[07:33:30] ⚠ 1088811 status 500
[07:33:30] ⚠ 1037516 status 500
[07:33:30] ⚠ 7293 status 500
[07:33:31] ⚠ 1040181 status 500
[07:33:31] ⚠ 1037521 status 500
[07:33:31] ⚠ 1041804 status 500
[07:33:31] ⚠ 1032901 status 500
[07:33:31] ⚠ 1012280 status 500
[07:33:31] ⚠ 4889 status 500
[07:33:31] ⚠ 5150 status 500
[07:33:32] ⚠ 5220 status 500
[07:33:32] ⚠ 16523 status 500
[07:33:33] ⚠ 1056892 status 500
[07:33:33] ⚠ 1020338 status 500
[07:33:33] ⚠ 14354 status 500
[07:33:33] ⚠ 1047917 status 500
[07:33:33] ⚠ 1041199 status 500
[07:33:33] ⚠ 4780 status 500
[07:33:33] ⚠ 1061843 status 500
[07:33:34] ⚠ 4919 status 500
[07:33:34] ⚠ 6119 status 500
[07:33:34] ⚠ 1041683 status 500
[07:33:34] ⚠ 1052727 status 500
[07:33:34] ⚠ 1036383 status 500
[07:33:34] ⚠ 1084822 status 500
[07:33:35] ⚠ 4910 status 500
[07:33:35] ⚠ 9661 status 500
[07:33:35] ⚠ 1033177 status 500
[07:33:36] ⚠ 1050804 status 500
[07:33:36] ⚠ 28235 status 500
[07:33:36] ⚠ 17483 status 500
[07:33:36] ⚠ 1018468 status 500
[07:33:36] ⚠ 7537 status 500
[07:33:37] ⚠ 25281 status 500
[07:33:37] ⚠ 9784 status 500
[07:33:37] ⚠ 7826 status 500
[07:33:37] ⚠ 29954 status 500
[07:33:38] ⚠ 1030383 status 500
[07:33:38] ⚠ 27725 status 500
[07:33:38] ⚠ 3145 status 500
[07:33:38] ⚠ 1041726 status 500
[07:33:38] ⚠ 1041732 status 500
[07:33:38] ⚠ 4852 status 500
[07:33:38] ⚠ 1006037 status 500
[07:33:39] ⚠ 9150 status 500
[07:33:39] ⚠ 1013210 status 500
[07:33:39] ⚠ 1041465 status 500
[07:33:39] ⚠ 1074202 status 500
[07:33:39] ⚠ 7814 status 500
[07:33:40] ⚠ 19110 status 500
[07:33:40] ⚠ 7753 status 500
[07:33:40] ⚠ 1055922 status 500
[07:33:41] ⚠ 9044 status 500
[07:33:41] ⚠ 58822 status 500
[07:33:41] ⚠ 4163 status 500
[07:33:41] ⚠ 28863 status 500
[07:33:41] ⚠ 6096 status 500
[07:33:41] ⚠ 1028118 status 500
[07:33:41] ⚠ 7856 status 500
[07:33:41] ⚠ 7312 status 500
[07:33:42] ⚠ 1019687 status 500
[07:33:42] ⚠ 4904 status 500
[07:33:43] ⚠ 4379 status 500
[07:33:43] ⚠ 4340 status 500
[07:33:43] ⚠ 4255 status 500
[07:33:43] ⚠ 1050768 status 500
[07:33:44] ⚠ 1088778 status 500
[07:33:44] ⚠ 27432 status 500
[07:33:44] ⚠ 5080 status 500
[07:33:44] ⚠ 7260 status 500
[07:33:44] ⚠ 1020350 status 500
[07:33:44] ⚠ 1041566 status 500
[07:33:45] ⚠ 1398 status 500
[07:33:45] ⚠ 9131 status 500
[07:33:45] ⚠ 1042822 status 500
[07:33:45] ⚠ 4425 status 500
[07:33:45] ⚠ 7627 status 500
[07:33:46] ⚠ 1026095 status 500
[07:33:46] ⚠ 1039748 status 500
[07:33:47] ⚠ 5105 status 500
[07:33:47] ⚠ 19289 status 500
[07:33:47] ⚠ 30441 status 500
[07:33:47] ⚠ 1041211 status 500
[07:33:47] ⚠ 1041495 status 500
[07:33:47] ⚠ 1054202 status 500
[07:33:48] ⚠ 6079 status 500
[07:33:48] ⚠ 1031639 status 500
[07:33:48] ⚠ 1033524 status 500
[07:33:48] ⚠ 1014297 status 500
[07:33:48] ⚠ 9176 status 500
[07:33:49] ⚠ 19294 status 500
[07:33:49] ⚠ 1041691 status 500
[07:33:49] ⚠ 10268 status 500
[07:33:49] ⚠ 1031640 status 500
[07:33:49] ⚠ 1009967 status 500
[07:33:50] ⚠ 7308 status 500
[07:33:50] ⚠ 26729 status 500
[07:33:50] ⚠ 29510 status 500
[07:33:50] ⚠ 24522 status 500
[07:33:50] ⚠ 1055117 status 500
[07:33:51] ⚠ 43960 status 500
[07:33:51] ⚠ 1013662 status 500
[07:33:51] ⚠ 984 status 500
[07:33:51] ⚠ 9497 status 500
[07:33:51] ⚠ 1066216 status 500
[07:33:51] ⚠ 54684 status 500
[07:33:51] ⚠ 33645 status 500
[07:33:52] ⚠ 9780 status 500
[07:33:52] ⚠ 482 status 500
[07:33:52] ⚠ 1041684 status 500
[07:33:52] ⚠ 32811 status 500
[07:33:52] ⚠ 1041729 status 500
[07:33:53] ⚠ 1039923 status 500
[07:33:53] ⚠ 12947 status 500
[07:33:53] ⚠ 1018796 status 500
[07:33:53] ⚠ 1041782 status 500
[07:33:53] ⚠ 9291 status 500
[07:33:54] ⚠ 1030384 status 500
[07:33:54] ⚠ 9653 status 500
[07:33:55] ⚠ 4714 status 500
[07:33:55] ⚠ 4881 status 500
[07:33:55] ⚠ 9527 status 500
[07:33:55] ⚠ 1008441 status 500
[07:33:55] ⚠ 22884 status 500
[07:33:55] ⚠ 476 status 500
[07:33:56] ⚠ 1056146 status 500
[07:33:56] ⚠ 1065452 status 500
[07:33:56] ⚠ 1089364 status 500
[07:33:56] ⚠ 1039863 status 500
[07:33:56] ⚠ 5103 status 500
[07:33:57] ⚠ 1019544 status 500
[07:33:57] ⚠ 24767 status 500
[07:33:57] ⚠ 1049289 status 500
[07:33:57] ⚠ 15614 status 500
[07:33:58] ⚠ 1078620 status 500
[07:33:58] ⚠ 1075662 status 500
[07:33:58] ⚠ 6035 status 500
[07:33:58] ⚠ 3976 status 500
[07:33:58] ⚠ 1035939 status 500
[07:33:58] ⚠ 1027244 status 500
[07:33:59] ⚠ 1049288 status 500
[07:33:59] ⚠ 1054735 status 500
[07:33:59] ⚠ 1004633 status 500
[07:33:59] ⚠ 1041567 status 500
[07:33:59] ⚠ 14703 status 500
[07:34:00] ⚠ 52682 status 500
[07:34:00] ⚠ 1092992 status 500
[07:34:00] ⚠ 26294 status 500
[07:34:00] ⚠ 62907 status 500
[07:34:00] ⚠ 1054736 status 500
[07:34:01] ⚠ 25008 status 500
[07:34:01] ⚠ 3906 status 500
[07:34:01] ⚠ 5061 status 500
[07:34:02] ⚠ 1054730 status 500
[07:34:02] ⚠ 1009010 status 500
[07:34:02] ⚠ 31792 status 500
[07:34:03] ⚠ 1042215 status 500
[07:34:03] ⚠ 1024041 status 500
[07:34:03] ⚠ 1032344 status 500
[07:34:03] ⚠ 1056839 status 500
[07:34:03] ⚠ 38446 status 500
[07:34:03] ⚠ 1009117 status 500
[07:34:03] ⚠ 6121 status 500
[07:34:04] ⚠ 4976 status 500
[07:34:04] ⚠ 49852 status 500
[07:34:04] ⚠ 24880 status 500
[07:34:04] ⚠ 1056846 status 500
[07:34:04] ⚠ 1088219 status 500
[07:34:05] ⚠ 4124 status 500
[07:34:05] ⚠ 1059680 status 500
[07:34:05] ⚠ 1021629 status 500
[07:34:05] ⚠ 39874 status 500
[07:34:06] ⚠ 1068242 status 500
[07:34:06] ⚠ 15526 status 500
[07:34:06] ⚠ 9169 status 500
[07:34:06] ⚠ 1020755 status 500
[07:34:06] ⚠ 1036955 status 500
[07:34:06] ⚠ 9504 status 500
[07:34:06] ⚠ 4038 status 500
[07:34:06] ⚠ 1025576 status 500
[07:34:07] ⚠ 9041 status 500
[07:34:07] ⚠ 9368 status 500
[07:34:07] ⚠ 10255 status 500
[07:34:08] ⚠ 9100 status 500
[07:34:08] ⚠ 1053536 status 500
[07:34:08] ⚠ 1054742 status 500
[07:34:08] ⚠ 1004635 status 500
[07:34:08] ⚠ 4890 status 500
[07:34:08] ⚠ 7504 status 500
[07:34:08] ⚠ 24246 status 500
[07:34:09] ⚠ 1082851 status 500
[07:34:09] ⚠ 10270 status 500
[07:34:09] ⚠ 1036114 status 500
[07:34:09] ⚠ 31788 status 500
[07:34:10] ⚠ 1028879 status 500
[07:34:10] ⚠ 56144 status 500
[07:34:10] ⚠ 4174 status 500
[07:34:10] ⚠ 24981 status 500
[07:34:10] ⚠ 1012136 status 500
[07:34:10] ⚠ 1011192 status 500
[07:34:10] ⚠ 1004634 status 500
[07:34:11] ⚠ 1013355 status 500
[07:34:11] ⚠ 1053155 status 500
[07:34:11] ⚠ 1003803 status 500
[07:34:13] ⚠ 7511 status 500
[07:34:13] ✅ Fetched 0 venues with shows
[07:34:13] ✅ DONE | Shows=0 | Movies=0
[18:28:50] 📍 Loaded 754 district venues
[18:28:50] 🚀 DISTRICT SCRAPER STARTED (self IP, rotating headers, delays)
[18:28:52] ❌ 1102100 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102100&date=2026-08-21'
[18:28:52] ❌ 1102096 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102096&date=2026-08-21'
[18:28:53] ❌ 1102183 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102183&date=2026-08-21'
[18:28:53] ❌ 1086677 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1086677&date=2026-08-21'
[18:28:53] ❌ 1583 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1583&date=2026-08-21'
[18:28:53] ❌ 1102233 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102233&date=2026-08-21'
[18:28:53] ❌ 1102175 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102175&date=2026-08-21'
[18:28:53] ❌ 1102215 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102215&date=2026-08-21'
[18:28:54] ❌ 61879 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=61879&date=2026-08-21'
[18:28:54] ❌ 1102103 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102103&date=2026-08-21'
[18:28:54] ❌ 1101483 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1101483&date=2026-08-21'
[18:28:54] ❌ 1068270 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1068270&date=2026-08-21'
[18:28:55] ❌ 1101584 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1101584&date=2026-08-21'
[18:28:55] ❌ 1068240 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1068240&date=2026-08-21'
[18:28:56] ❌ 1102289 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102289&date=2026-08-21'
[18:28:56] ❌ 1067161 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1067161&date=2026-08-21'
[18:28:56] ❌ 1102311 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102311&date=2026-08-21'
[18:28:57] ❌ 1096456 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1096456&date=2026-08-21'
[18:28:57] ❌ 20856 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=20856&date=2026-08-21'
[18:28:57] ❌ 1102098 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102098&date=2026-08-21'
[18:28:57] ❌ 1020401 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1020401&date=2026-08-21'
[18:28:57] ❌ 1100725 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1100725&date=2026-08-21'
[18:28:58] ❌ 51512 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=51512&date=2026-08-21'
[18:28:58] ❌ 1102119 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102119&date=2026-08-21'
[18:28:58] ❌ 1102076 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102076&date=2026-08-21'
[18:28:58] ❌ 1102127 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102127&date=2026-08-21'
[18:28:58] ❌ 1101397 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1101397&date=2026-08-21'
[18:28:59] ❌ 1102097 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102097&date=2026-08-21'
[18:28:59] ❌ 1102244 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102244&date=2026-08-21'
[18:29:00] ❌ 1082714 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1082714&date=2026-08-21'
[18:29:00] ❌ 1101355 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1101355&date=2026-08-21'
[18:29:00] ❌ 1044502 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1044502&date=2026-08-21'
[18:29:00] ❌ 9508 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=9508&date=2026-08-21'
[18:29:00] ❌ 539 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=539&date=2026-08-21'
[18:29:01] ❌ 4430 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=4430&date=2026-08-21'
[18:29:01] ❌ 1102304 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102304&date=2026-08-21'
[18:29:02] ❌ 1096482 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1096482&date=2026-08-21'
[18:29:02] ❌ 1096475 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1096475&date=2026-08-21'
[18:29:02] ❌ 1101450 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1101450&date=2026-08-21'
[18:29:02] ❌ 1096734 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1096734&date=2026-08-21'
[18:29:02] ❌ 1102280 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1102280&date=2026-08-21'
[18:29:02] ❌ 7854 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=7854&date=2026-08-21'
[18:29:03] ❌ 1095290 ClientResponseError: 400, message='Can not decode content-encoding: zstandard (zstd). Please install `backports.zstd`', url='https://districtvenues1.text2029mail.workers.dev/?cinema_id=1095290&date=2026-08-21'
